start_timestamp,end_timestamp,activity,process,factory,worker
2000-01-01 00:00:00,2000-01-01 00:00:40,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:00:40,2000-01-01 00:00:44,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:00:48,2000-01-01 00:03:26,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:03:26,2000-01-01 00:03:29,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:03:29,2000-01-01 00:03:51,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:03:51,2000-01-01 00:03:55,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:03:55,2000-01-01 00:04:22,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:04:40,2000-01-01 00:05:00,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:05:00,2000-01-01 00:05:05,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:05:05,2000-01-01 00:05:44,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:05:44,2000-01-01 00:05:46,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:05:46,2000-01-01 00:08:04,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:08:04,2000-01-01 00:08:08,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:08:08,2000-01-01 00:08:46,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:08:46,2000-01-01 00:08:52,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:09:03,2000-01-01 00:10:17,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:17,2000-01-01 00:10:20,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:20,2000-01-01 00:10:26,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:26,2000-01-01 00:10:29,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:29,2000-01-01 00:10:33,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:33,2000-01-01 00:10:36,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:10:36,2000-01-01 00:13:22,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:13:22,2000-01-01 00:13:24,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:13:26,2000-01-01 00:13:29,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:13:29,2000-01-01 00:17:18,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:17:18,2000-01-01 00:17:21,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:17:21,2000-01-01 00:19:18,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:19:18,2000-01-01 00:19:20,transport loaded tray to storage rack,Surface finishing and polishing,factory_003,worker_003
2000-01-01 00:19:20,2000-01-01 00:20:00,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_003
